epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0668,1.30651,3.49623,0.95117,0.75769,0.81309,0.80886,0.46968,1.3121,2.90125,0.98983,8e-05,8e-05,8e-05
2,98.0365,1.20915,1.46072,0.95739,0.84164,0.96,0.89007,0.54414,1.22883,2.28204,1.00987,0.000176436,0.000176436,0.000176436
3,145.073,1.18126,1.00011,0.94247,0.85761,0.98,0.90414,0.57789,1.20145,1.63765,0.98806,0.000268912,0.000268912,0.000268912
4,191.445,1.16789,0.83042,0.93427,0.84913,0.90055,0.89777,0.54323,1.31796,1.34785,1.03783,0.000357428,0.000357428,0.000357428
5,237.662,1.27878,0.84701,0.99892,0.62576,0.94,0.73531,0.41539,1.27719,1.42618,1.02953,0.000441984,0.000441984,0.000441984
6,283.993,1.14814,0.86502,0.9417,0.76671,0.85458,0.80744,0.53003,1.22847,1.40517,1.04016,0.00052258,0.00052258,0.00052258
7,330.806,1.16919,0.68381,0.97139,0.89962,0.88,0.88571,0.57048,1.26551,1.35152,1.10641,0.000599216,0.000599216,0.000599216
8,377.492,1.19616,0.6799,0.98685,0.9056,0.86,0.91633,0.5786,1.24256,1.09059,1.10584,0.000671892,0.000671892,0.000671892
9,424.636,1.06599,0.64428,0.95872,0.90153,0.91558,0.92811,0.60248,1.22629,1.06029,1.1385,0.000740608,0.000740608,0.000740608
10,471.684,1.16601,0.63617,0.96633,0.88063,0.88533,0.91539,0.59046,1.27125,0.8748,1.16983,0.000805364,0.000805364,0.000805364
11,519.316,1.08249,0.62949,0.9614,0.7829,0.9,0.86188,0.54998,1.27605,0.93353,1.17769,0.00086616,0.00086616,0.00086616
12,566.864,1.04805,0.61727,0.978,0.79529,0.78,0.7116,0.47777,1.2421,1.10636,1.18422,0.000922996,0.000922996,0.000922996
13,614.223,1.06824,0.60378,0.97785,0.6954,0.77628,0.62029,0.41735,1.21961,1.01797,1.16637,0.000975872,0.000975872,0.000975872
14,661.465,1.0928,0.60642,0.97289,0.4036,0.74443,0.37596,0.23708,1.3248,1.53876,1.21407,0.00102479,0.00102479,0.00102479
15,708.703,1.05835,0.60638,0.97988,0.86053,0.74,0.85815,0.56949,1.22534,1.00312,1.13157,0.00106974,0.00106974,0.00106974
16,756.357,1.01186,0.59444,0.96796,0.86674,0.91066,0.90672,0.5859,1.27091,0.85464,1.1496,0.00111074,0.00111074,0.00111074
17,804.333,1.05771,0.56389,0.95718,0.83472,0.92,0.92251,0.58442,1.28397,0.78723,1.12805,0.00114778,0.00114778,0.00114778
18,850.767,1.01567,0.53628,0.94941,0.90295,0.82,0.92593,0.59906,1.23681,0.76437,1.10453,0.00118085,0.00118085,0.00118085
19,896.965,1.01655,0.55919,0.9433,0.87405,0.83283,0.91623,0.59913,1.21928,0.81028,1.1069,0.00120997,0.00120997,0.00120997
20,942.866,1.00981,0.52704,0.93033,0.81546,0.82,0.86736,0.54268,1.31564,0.93139,1.16255,0.00123512,0.00123512,0.00123512
21,988.736,0.99979,0.51811,0.94001,0.83387,0.78,0.84897,0.54769,1.26699,0.87763,1.13348,0.001208,0.001208,0.001208
22,1034.57,0.99225,0.52532,0.95008,0.82946,0.74,0.85092,0.55979,1.22478,0.89674,1.12312,0.0011684,0.0011684,0.0011684
23,1080.53,0.99364,0.50597,0.94761,0.76402,0.84183,0.87851,0.56625,1.28656,0.82256,1.15317,0.0011288,0.0011288,0.0011288
24,1126.43,0.91587,0.50921,0.9137,0.91411,0.94,0.93789,0.59244,1.26125,0.70209,1.15727,0.0010892,0.0010892,0.0010892
